scorer,,,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk
bodyparts,,,nose,nose,chin,chin,left-eye-pupil,left-eye-pupil,left-of-left-eye,left-of-left-eye,top-of-left-eye,top-of-left-eye,right-of-left-eye,right-of-left-eye,bottom-of-left-eye,bottom-of-left-eye,right-eye-pupil,right-eye-pupil,left-of-right-eye,left-of-right-eye,top-of-right-eye,top-of-right-eye,right-of-right-eye,right-of-right-eye,bottom-of-right-eye,bottom-of-right-eye,left-of-left-ear,left-of-left-ear,right-of-left-ear,right-of-left-ear,left-of-right-ear,left-of-right-ear,right-of-right-ear,right-of-right-ear
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023_08_02_Szocsi-13h_54_11,img012.png,503.5774654011545,352.4416253011734,,,474.05231453959163,289.2107712436672,459.68166589015846,282.6786582211975,477.9715823530735,279.5432439704121,487.63910962632855,293.3913235780477,,,530.2284865328306,300.44600564231496,520.8222437804743,301.7524282468089,531.012340095527,291.56233193175626,538.328306680693,296.78802234973193,529.9672020119319,307.761972227481,423.1018329643284,221.27679580998281,471.17818480970504,212.1318375785253,538.0670221597943,235.38615993851727,,
labeled-data,2023_08_02_Szocsi-13h_54_11,img016.png,511.61808979158525,362.3401117472199,,,,,463.30230022089575,291.154848446404,483.59493184058533,290.8327431825994,,,,,538.3528266873668,307.26011163663384,529.0117740370335,307.904322164243,538.3528266873668,300.49590109673727,544.7949319634588,305.00537479000167,539.3191424787806,313.0580063851166,422.79594316968974,219.01216517093056,465.6466045970906,213.52519023205605,539.0675549696494,243.57291013541644,,
labeled-data,2023_08_02_Szocsi-13h_54_11,img025.png,474.962514702571,357.69606709871005,,,,,,,,,,,,,,,,,,,,,,,362.86988289857135,247.2139616137333,407.64251456741033,237.55080369959538,466.58777784365157,251.40133004319304,,
labeled-data,2023_08_02_Szocsi-13h_54_11,img105.png,,,,,,,,,,,,,,,,,,,,,,,,,,,241.91188563680527,372.46151866001634,,,337.255043722966,366.9857291753382
labeled-data,2023_08_02_Szocsi-13h_54_11,img180.png,311.7401455337395,357.162807421611,,,264.88428437454024,355.574473145028,250.58927588529298,366.2957295119634,258.9280308373539,348.42696890040435,276.39970787976716,348.42696890040435,272.4288721883096,365.89864594281767,311.34306196459374,297.20318848060174,305.3868084274074,314.67486552301506,305.3868084274074,293.6294363582899,317.2993155017801,284.09943069879176,318.4905662092174,299.982773464622,223.58759318338156,356.36864028331945,230.73509742800513,310.3069462624117,274.4142900340384,259.48024941175487,319.6818169166546,240.42023809275855
labeled-data,2023_08_02_Szocsi-13h_54_11,img188.png,309.84125923124867,330.176965352464,,,263.1359959795821,325.34538639539505,247.35283805315686,339.1959127389926,253.79494332924878,321.15801796593524,271.8328381023062,318.5811758554985,275.0538907403522,331.46538640768233,314.0286276607084,270.265386284809,309.19704870363944,287.65907053025717,305.0096802741797,267.3664389105676,319.5044171453866,258.6695967878435,322.7254697834325,275.0969652418779,220.6181011573753,323.41275481256736,231.8917853905362,279.6064389351422,276.6644170593752,232.2569651558665,325.30231189386933,216.4738072294413
labeled-data,2023_08_02_Szocsi-13h_54_11,img203.png,273.1212591575246,336.2969653647513,320.79283820060493,375.91591281271667,228.02652222488103,289.91380737688934,209.98862745182362,294.1011758063491,221.9065222125937,277.99591261611926,241.23283804086952,289.91380737688934,236.72336434760518,305.37486003950994,302.43283816374293,247.71801781848717,286.97178550112227,272.84222839524574,292.769680249605,237.73275464054467,314.6728381883176,236.1222283215217,312.74020660549,257.3811757326251,200.00336427388112,251.58328098414228,223.1949432678121,203.2674914134528,277.9528381145936,171.7011755606023,350.42652247062784,167.8359123949472
labeled-data,2023_08_02_Szocsi-13h_54_11,img208.png,283.1065223354671,397.4969654876247,,,,,,,,,,,,,296.3128381514556,327.92222850583175,288.2602065563407,340.1622285304065,288.58231182014526,322.44643902115365,309.19704870363944,321.15801796593524,305.3317855379843,334.36433378192373,,,,,276.6644170593752,220.66117565890102,337.2202066546394,210.67591248095854
