scorer,,,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk,tinsttk
bodyparts,,,nose,nose,chin,chin,left-eye-pupil,left-eye-pupil,left-of-left-eye,left-of-left-eye,top-of-left-eye,top-of-left-eye,right-of-left-eye,right-of-left-eye,bottom-of-left-eye,bottom-of-left-eye,right-eye-pupil,right-eye-pupil,left-of-right-eye,left-of-right-eye,top-of-right-eye,top-of-right-eye,right-of-right-eye,right-of-right-eye,bottom-of-right-eye,bottom-of-right-eye,left-of-left-ear,left-of-left-ear,right-of-left-ear,right-of-left-ear,left-of-right-ear,left-of-right-ear,right-of-right-ear,right-of-right-ear
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2023_08_02_Leo-13h_43_16,img013.png,394.2931741057811,290.67454121373737,,,358.21738455966624,258.1419095694731,345.3331740074824,257.1755937780593,359.18370035108,251.37769902957658,371.4237003756547,263.9398043179558,357.89527929586166,268.44927801122014,421.35001626536723,252.34401482099037,411.0426478236201,256.8534885142547,419.095279418735,243.32506743446166,433.2679110261373,248.4787516553352,424.2489636396086,259.43033062469146,317.63212132028707,247.834541127726,346.94370032650534,220.45559370433529,414.58580572547066,210.79243579019737,451.30580579919473,230.11875161847317
labeled-data,2023_08_02_Leo-13h_43_16,img025.png,428.758437332873,252.02190955718578,423.926858375804,295.8282254346109,378.8321214431604,225.60927792520883,366.27001615478116,223.03243581477207,379.4763319707696,219.81138317672608,392.0384372591489,230.76296214608237,381.40896355359723,234.30612004793295,437.45527945559706,232.05138320130075,428.758437332873,229.1524358270594,435.2005426089649,223.35454107857666,445.507911050712,231.72927793749616,440.3542268298384,241.71454111543866,324.3963318601835,214.0134884282433,363.37106878053976,195.33138312757674,,,,
labeled-data,2023_08_02_Leo-13h_43_16,img035.png,450.66159527158555,213.04717263682957,438.4215952470108,265.2282253731742,401.37948990948223,189.21138311528938,387.5289635658845,186.6345410048526,402.99001622850517,182.12506731158825,412.9752794064477,194.36506733616292,402.6679109647006,196.6198041827951,,,447.44054263353956,195.65348839138133,454.8489637010453,194.36506733616292,,,,,337.92475293997666,182.44717257539284,377.86580565174665,165.05348832994463,,,,
labeled-data,2023_08_02_Leo-13h_43_16,img078.png,452.59422685441314,290.3524359499328,,,396.5479109524133,265.2282253731742,382.6973846088156,265.2282253731742,395.5815951609995,257.8198043056685,412.9752794064477,268.12717274741556,397.83633200763165,274.8913832873121,457.74791107528665,249.76717271055358,449.69527948017173,255.56506745903633,455.4931742286545,241.71454111543866,467.73317425322915,243.32506743446166,463.2237005599648,260.07454115230064,337.60264767617207,256.53138325045006,375.6110688051144,222.71033055096746,422.6384373205856,210.47033052639276,462.9015952961602,218.2008568577031
labeled-data,2023_08_02_Leo-13h_43_16,img095.png,295.72896338157443,203.70611998649622,311.5121213079997,244.29138322587542,283.48896335699976,203.38401472269163,270.6047528048159,204.67243577791,278.9794896637354,195.0092778637721,290.2531738968963,198.23033050181806,283.48896335699976,210.14822526258814,338.8910687313904,183.41348836680666,326.32896344301116,188.88927785148476,334.0594897743215,177.6155936183239,349.52054243694215,178.2598041459331,341.46791084182723,189.533488379094,,,,,341.7900161056318,161.83243569189867,383.34159513642476,175.03875150788713
labeled-data,2023_08_02_Leo-13h_43_16,img100.png,,,,,316.3437002650686,281.6555938272087,300.882647602448,279.72296224438105,314.4110686822411,277.46822539774894,325.04054238779275,286.4871727842776,315.05527920985026,292.60717279656495,373.6784372222869,273.28085696828913,365.3037003633674,279.72296224438105,373.0342266946777,269.0934885388294,383.34159513642476,270.3819095940478,375.6110688051144,282.29980435481787,,,,,,,,
labeled-data,2023_08_02_Leo-13h_43_16,img122.png,,,,,,,405.88896360274657,289.386120158519,413.9415951978615,299.0492780726569,,,403.6342267561144,304.20296229353045,,,,,,,,,,,405.88896360274657,238.17138321358811,436.8110689279879,260.07454115230064,473.2089637379073,319.34190969234646,,
labeled-data,2023_08_02_Leo-13h_43_16,img148.png,417.80685836351665,292.28506753276037,,,378.8321214431604,254.92085693142715,367.88054247380416,248.4787516553352,382.0531740812064,248.15664639153061,392.3605425229535,261.6850674713237,377.54370038794207,261.6850674713237,441.6426478850568,270.3819095940478,430.3689636518959,270.0598043302432,442.286858412666,264.9061201093696,451.9500163268039,271.67033064926613,441.6426478850568,277.46822539774894,330.1942266086663,231.40717267369155,363.37106878053976,222.06612002335825,441.9647531488614,239.4598042688065,,
